Page,Current Button Position,Button States,CT Version,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Purpose,Files
A - Decks/Rec,Row 1 Col 1,"Deck A
Deck B
Deck C
Deck D",,10,23,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Deck Focus Selector""","Displays/Sets the deck, for mappings that affect ""Device Target: Focus""","src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/focus-deck.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 2,"Loop
BeatJump
Loop Out
Loop In",,10,26,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Mode Selector""",Displays/Sets the move mode,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-mode.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 3,"1/32 bar
1/16 bar
1/8 bar
1/4 bar
1/2 bar
1 bar
2 bars
4 bars
8 bars
16 bars
32 bars",,10,60,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Loop Size Selector""",Displays/Sets the size of the loop,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-size.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 4,"xFine
Fine
1/16 bar
1/8 bar
1/4 bar
1/2 bar
1 bar
2 bars
4 bars
8 bars
16 bars
32 bars
Loop",,10,27,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Size Selector""","Displays/Sets the amount that the loop will be moved, or that the play head will be beatjumped by","src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-size.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 5,BPM /2,,10,58,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""BPM Lock On"" (off)
Calls Traktor's ""BPM /2""",Halves the deck BPM,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 6,BPM x2,,10,59,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""BPM Lock On"" (off)
Calls Traktor's ""BPM x2""",Doubles the deck BPM,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 7,-,,-,-,-,-,Traktor Virtual Input,Traktor Virtual Output,-,-,-
A - Decks/Rec,Row 1 Col 8,A Decks/Rec,,"-
10
10","-
31
36","-
Push
Push","-
0 (On), 127 (Off)
127 (On), 0 (Off)","-
Traktor Virtual Input
Traktor Virtual Input","-
Traktor Virtual Output
Traktor Virtual Output","Switch profile page
Calls Traktor's ""Layout Selector""
Calls Traktor's ""Send Monitor State""","View A Decks/Rec
Switch to Traktor's configured ""Decks"" view
Sync state of all buttons with Traktor","src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - App Export.tsi
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 2 Col 1,A to B,,10,11,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Duplicate Track Deck A""",Copy source of Deck A to Deck B,TODO
A - Decks/Rec,Row 2 Col 2,B to A,,10,12,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Duplicate Track Deck B""",Copy source of Deck B to Deck A,TODO
A - Decks/Rec,Row 2 Col 3,Back,,10,28,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Move""","Move loop back, or beatjump back by the specified ""Size Selector""",TODO
A - Decks/Rec,Row 2 Col 4,Forward,,10,29,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ""Move""","Move loop forward, or beatjump forward by the specified ""Size Selector""",TODO
A - Decks/Rec,Row 2 Col 5,Tempo MASTER Set,,10,32,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Call Traktor's ""Set as Tempo Master""",Make the focussed deck the tempo master,TODO
A - Decks/Rec,Row 2 Col 6,LIVE TEMPO PHASE NUDGE Down,6,10,66,Hold,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,"Call's Live's ""Phase Nudge"" buttons, hardcoding the relevant CCs to the controls via an M4L device *usually this would require per-set MIDI mapping)",TODO,TODO
A - Decks/Rec,Row 2 Col 7,LIVE TEMPO PHASE NUDGE Up,6,10,68,Hold,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,TODO,"Controls Live's Phase Nudge buttons, hardcoding the relevant CCs to the controls via an M4L device (usually this would require per-set MIDI mapping)",TODO
A - Decks/Rec,Row 2 Col 8,B Rmx Deck,,"-
-
10
10","-
-
31
36","-
-
Push
Push","-
-
0 (On), 127 (Off)
127 (On), 0 (Off)","-
-
Traktor Virtual Input
Traktor Virtual Input","-
-
Traktor Virtual Output
Traktor Virtual Output","Switch profile page
Focus Traktor application
Calls Traktor's ""Layout Selector""
Calls Traktor's ""Send Monitor State""","View B Rmx Deck
Bring Traktor to front to receive mouse clicks
Switch to Traktor's configured ""Decks"" view
Sync state of all buttons with Traktor","src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - App Export.tsi
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 1,"Dry
Wet",,10,21,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-recorder-dry-wet.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 2,Delete,,10,15,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 3,"4 bars
8 bars
16 bars
32 bars",,10,22,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-recorder-size.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 4,"Record
Recording",,10,14,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 5,"Record
Recording",,10,13,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 6,LIVE CLEAR CLIP,6,10,67,Push,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,TODO,"To easily remove all clip data, this is much faster than switching views to create a new clip and getting it back in time","src/clyphx-pro/X-Controls.txt
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 7,A-Z,,-,-,-,-,-,-,Switch profile page,View Keyboard A-Z,src/streamdeck-xl/profiles/CT6.streamDeckProfile
A - Decks/Rec,Row 3 Col 8,C Browser,,"-
-
10
10
10","-
-
36
31
7","-
-
Push
Push
Push","-
-
127 (On), 0 (Off)
127 (On), 0 (Off)
127 (On), 0 (Off)","-
-
Traktor Virtual Input
Traktor Virtual Input
Traktor Virtual Input","-
-
Traktor Virtual Output
Traktor Virtual Output
Traktor Virtual Output","Switch profile page
Focus Traktor application
Calls Traktor's ""Send Monitor State""
Calls Traktor's ""Layout Selector""
Calls Traktor's ""Search"" & ""Search Clear""","View B Rmx Deck
Bring Traktor to front to receive mouse clicks
Sync state of all buttons with Traktor
Switch to Traktor's configured ""Decks"" view
Focus and clear Traktor's Search field","src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - App Export.tsi
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 1,Shift,,10,4,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 2,"PUSH PAD MODE Off
PUSH PAD MODE Hotcues
PUSH PAD MODE Slices",6,10,60,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,TODO,Highlights the current playing slice on Push's 16 pad grid,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/leds-to-push.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 3,"FREEZE Off
FREEZE On",6,10,61,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,TODO,"Toggles freeze mode on and off, easier than using the S8 as Supreme Mod makes Freeze a SHIFTed function","src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 4,"FREEZE SLICE COUNT 8
FREEZE SLICE COUNT 16",6,10,64,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,TODO,"Required to achieve 16 slices, as defaults to 8 slices after freeze is engaged","src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/freeze-slice-count.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 5,"FREEZE SLICE SIZE 1/4 beat
FREEZE SLICE SIZE 1/2 beat
FREEZE SLICE SIZE 1 beat
FREEZE SLICE SIZE 2 beats
FREEZE SLICE SIZE 4 beats",6,10,63,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,TODO,Useful for isolating stabs and drum hits,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/freeze-slice-size.xml
src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 6,Pause,6,10,65,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,TODO,TODO,"src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 4 Col 7,0-9`,,-,-,-,-,-,-,Switch profile page,View Keyboard 0-9,src/streamdeck-xl/profiles/CT6.streamDeckProfile
A - Decks/Rec,Row 4 Col 8,D Settings,,"-
10","-
36","-
Push","-
127 (On), 0 (Off)","-
Traktor Virtual Input","-
Traktor Virtual Output","Switch profile page
Calls Traktor's ""Send Monitor State""","View D Settings
Sync state of all buttons with Traktor","src/streamdeck-xl/profiles/CT6.streamDeckProfile
src/traktor/CT6 - Streamdeck XL.tsi"
,,,,,,,,,,,,
