Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Icon,Additional Files
A - Decks/Rec,Row 1 Col 1,Arrow pointer,"Deck A,
Deck B,
Deck C,
Deck D",5,"Move the deck focus, for mappings that affect 'Device Target: Focus'",-,10,23,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Deck Focus Selector',Font Awesome Solid Icons pack - Arrow pointer,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/focus-deck.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 2,Arrow Turn Up Right,"Loop,
BeatJump,
Loop Out,
Loop In",5,Set the move mode,-,10,26,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Mode Selector',src/streamdeck-xl/icons/button-creator/arrow.turn.up.right.png,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-mode.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 3,Ruler,"1/32 bar,
1/16 bar,
1/8 bar,
1/4 bar,
1/2 bar,
1 bar,
2 bars,
4 bars,
8 bars,
16 bars,
32 bars",5,Set the size of the loop,-,10,60,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Loop Size Selector',src/streamdeck-xl/icons/button-creator/ruler.png,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 4,Arrow Left and Right Text Vertical,"xFine,
Fine,
1/16 bar,
1/8 bar,
1/4 bar,
1/2 bar,
1 bar,
2 bars,
4 bars,
8 bars,
16 bars,
32 bars,
Loop",5,"Set the amount that the loop will be moved, or that the play head will be beatjumped by",-,10,27,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Size Selector',src/streamdeck-xl/icons/button-creator/arrow.left.and.right.text.vertical.png,"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 5,BPM,/2,5,Halve the deck BPM,-,10,58,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'BPM Lock On' to 'off',
Calls Traktor's 'BPM /2'",src/streamdeck-xl/icons/button-creator/bpm.png,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 1 Col 6,BPM,x2,5,Double the deck BPM,-,10,59,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'BPM Lock On' to 'off',
Calls Traktor's 'BPM x2'",src/streamdeck-xl/icons/button-creator/bpm.png,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 1 Col 7,Arrow Triangle Backward Fill,Flux,6,Play Deck in Reverse (SHIFTable),-,10,69,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's ‘Reverse Playback On’ (+ SHIFT = Flux mode),src/streamdeck-xl/icons/button-creator/arrowtriangle.backward.fill.png,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 1,Right Arrow Vertical Line,A to B,5,Copy source of Deck A to Deck B,-,10,11,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck A',UNKNOWN - TODO,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 2,Left Arrow Vertical Line,B to A,5,Copy source of Deck B to Deck A,-,10,12,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck B',UNKNOWN - TODO,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 3,Go Backward,Back,5,"Move loop back, or beatjump back by the specified 'Size Selector'",-,10,28,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Move',src/streamdeck-xl/icons/button-creator/gobackward.png,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 4,Go Forward,Forward,5,"Move loop forward, or beatjump forward by the specified 'Size Selector'",-,10,29,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Move',src/streamdeck-xl/icons/button-creator/goforward.png,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 5,Tempo MASTER,Set,5,Make the focussed deck the tempo master,-,10,32,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Set as Tempo Master',src/streamdeck-xl/icons/button-creator/tempo-master.png,src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 6,LIVE TEMPO PHASE NUDGE,Down,6,Nudge Live's audio output into time with Traktor's by decreasing Live's tempo for as long as the button is held down. The M4L device facilitates mapping the CCs to Live's API (the LOM) to avoid having to MIDI map these controls on a per-set basis,-,10,66,Hold,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,Calls Live's 'Phase Nudge Down' button via M4L device 'CT6 Params',src/streamdeck-xl/icons/button-creator/live-tempo-phase-nudge.png,"src/live/CT6 Params.adv,
src/live/CT6 Params.amxd,
src/live/CT6 Rack.adg,
src/live/CT6.als"
