Page,Button States,Button Icon/Label,MIDI Ch CC,SD Button Type,Value,MIDI Out Port,MIDI In Port,Purpose,Files,CT
[Bome] - Stream Deck - Navigate to Profile / Page,-,-,Ch.11.CC.90,-,-,Bome MIDI Translator 1,Traktor Virtual Output,"Calls Traktor Layout Decks to ensure UI is visible - Ch.10.CC.31,

Calls Traktor's 'Send Monitor State’ to sync state of all buttons with Traktor - Ch.10.CC.36,",src/bome-midi-translator-pro/stream-deck-traktor.bmtp,6
A - Decks / Record - Row 1 Col 1,"Deck A,
Deck B,
Deck C,
Deck D",Arrow pointer,Ch.10.CC.23,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Sets/Displays Traktor's 'Deck Focus Selector', for mappings that affect 'Device Target: Focus'","Font Awesome Solid Icons pack - Arrow pointer,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/focus-deck.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 2,"1/32 beat,
1/16 beat,
1/8 beat,
1/4 beat,
1/2 beat,
1 beat,
2 beats,
4 beats,
8 beats,
16 beats,
32 beats",Ruler,Ch.10.CC.30,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays the size of Traktor's 'Loop Size Selector',"src/streamdeck-xl/icons/button-creator/ruler.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 3,"Loop,
BeatJump,
Loop Out,
Loop In",Various,Ch.10.CC.26,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Mode Selector' (move mode),"src/streamdeck-xl/icons/button-creator/arrow.forward.to.line.png,
src/streamdeck-xl/icons/button-creator/arrow.backward.to.line.png,
src/streamdeck-xl/icons/button-creator/arrow.triangle.2.circlepath.png,
src/streamdeck-xl/icons/button-creator/arrow.turn.up.right.png

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-mode.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 4,"xFine,
Fine,
1/16 beat,
1/8 beat,
1/4 beat,
1/2 beat,
1 beat,
2 beats,
4 beats,
8 beats,
16 beats,
32 beats,
Loop",Arrow Left and Right Text Vertical,Ch.10.CC.27,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Sets/Displays Traktor's 'Size Selector’ (sets the amount that the loop will be moved, or that the play head will beat jump by)","src/streamdeck-xl/icons/button-creator/arrow.left.and.right.text.vertical.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 5,Back,Go Backward,Ch.10.CC.28,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ‘Move’ (move loop back, or beatjump back by the specified 'Size Selector’)","src/streamdeck-xl/icons/button-creator/gobackward.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 6,Forward,Go Forward,Ch.10.CC.29,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ‘Move’ (move loop forward, or beatjump forward by the specified 'Size Selector’)","src/streamdeck-xl/icons/button-creator/goforward.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 2 Col 1,Set,Tempo MASTER,Ch.10.CC.32,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Set as Tempo Master’ (make the focussed deck the tempo master),"src/streamdeck-xl/icons/button-creator/tempo-master.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 2 Col 2,,BPM ÷2 ⨉2,Ch.10.CC.59,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'BPM Lock On' to ‘off’, calls Traktor's 'BPM x2' (double the BPM/tempo of the track).
Shifted: Sets Traktor's 'BPM Lock On' to ‘off’, calls Traktor's 'BPM /2' (halve the BPM/tempo of the track).","src/streamdeck-xl/icons/button-creator/bpm-half-double-30-23.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 2 Col 3,A to B,Right Arrow Vertical Line,Ch.10.CC.11,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck A' (copy source of Deck A to Deck B),"src/streamdeck-xl/icons/button-creator/arrowshape.turn.up.right.circle.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
